"Event Receive Time","Reporting IP","Event Type","Raw Event Log"
"2020-07-22 16:06:09 CEST","10.222.249.200","FortiGate-traffic-forward","<188>date=2020-07-22 time=16:06:08 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000011"" type=""traffic"" subtype=""forward"" level=""warning"" vd=""root"" eventtime=1595426769442208368 tz=""+0200"" srcip=192.168.11.2 srcport=48957 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=1012 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870349 proto=17 action=""ip-conn"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/1012"" appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low"" mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:09 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:08 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426769442206989 tz=""+0200"" srcip=192.168.11.2 srcport=48957 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=16711 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870348 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/16711"" trandisp=""snat"" transip=198.18.0.200 transport=48957 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:09 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:08 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426769442209057 tz=""+0200"" srcip=192.168.11.2 srcport=48957 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=1012 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870349 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/1012"" trandisp=""snat"" transip=198.18.0.200 transport=48957 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=56 sentpkt=1 rcvdpkt=1 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:08 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:07 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426768172203746 tz=""+0200"" srcip=192.168.11.2 srcport=48956 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=19639 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870335 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/19639"" trandisp=""snat"" transip=198.18.0.200 transport=48956 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:08 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:08 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426768792353710 tz=""+0200"" srcip=192.168.11.2 srcport=48957 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=32770 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870340 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/32770"" trandisp=""snat"" transip=198.18.0.200 transport=48957 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:08 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:08 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426768792354958 tz=""+0200"" srcip=192.168.11.2 srcport=48956 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=25709 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870342 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/25709"" trandisp=""snat"" transip=198.18.0.200 transport=48956 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:08 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:07 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426768172189199 tz=""+0200"" srcip=192.168.11.2 srcport=48957 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=2000 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870322 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/2000"" trandisp=""snat"" transip=198.18.0.200 transport=48957 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:08 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:07 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426768172195622 tz=""+0200"" srcip=192.168.11.2 srcport=48957 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=42639 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870326 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/42639"" trandisp=""snat"" transip=198.18.0.200 transport=48957 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:08 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:07 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426768172197207 tz=""+0200"" srcip=192.168.11.2 srcport=48956 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=19933 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870328 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/19933"" trandisp=""snat"" transip=198.18.0.200 transport=48956 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
"2020-07-22 16:06:08 CEST","10.222.249.200","FortiGate-traffic-forward","<189>date=2020-07-22 time=16:06:07 devname=""FortiGate-Core"" devid=""FGVM02TM19008304"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1595426768172201854 tz=""+0200"" srcip=192.168.11.2 srcport=48957 srcintf=""port3"" srcintfrole=""lan"" dstip=198.18.0.114 dstport=2002 dstintf=""port5"" dstintfrole=""wan"" srccountry=""Reserved"" dstcountry=""Reserved"" sessionid=5870333 proto=17 action=""accept"" policyid=3 policytype=""policy"" poluuid=""a1cdcc14-f7e0-51e9-2c1c-0be23092896e"" policyname=""Lab -> Internet"" service=""udp/2002"" trandisp=""snat"" transip=198.18.0.200 transport=48957 appcat=""unknown"" applist=""default"" duration=180 sentbyte=28 rcvdbyte=0 sentpkt=1 rcvdpkt=0 mastersrcmac=""52:54:00:4e:6e:7c"" srcmac=""52:54:00:4e:6e:7c"" srcserver=0"
